How many Golden Kingdom Equipment Troves are contained within the Golden Chest earned from stage 16 of the Golden Kingdom event?,3
How many arrows are stuck in the shield of commander Lohar?,4
How many beasts can you expect to see fighting alongside Lvl 20 barbarian troops in Rise of Kingdoms,1 bear and 2 wolves
How many bones does an adult human normally have?,206
How many bowmen are shown practising in the Archery Range when training composite bowmen?,3
How many cards in total are shown in the Mysterious Merchants hands?,5
How many daily Activity Points do you need in Lucerne Scrolls to claim the Daily Gift clue reward?,50
How many days are in a leap year?,366 days
How many dispatches do you need to complete at the State Forum to open a Dispatch Commendation?,15
How many Easter eggs are featured in the Easter Egg Avatar Frame?,5
How many emeralds are featured on the clothing of commander Matilda of Flanders?,5
How many flags are featured in front of the Alliance Center for the French civilization?,6
How many gears are shown on the icon for the Economic Technology Engineering?,2
How many goals does a player need to score to earn a hat-trick?,3
How many Golden Keys are awarded to the top finishing Governor in each season of Sunset Canyon?,5
How many hurricanes were recorded around the Pacific Ocean in the year 1977?,4
How many individual credits can be earned from selling normal equipment blueprints through the Alliance Shops reclaim feature?,400
How many individual quests does an Expedition involve?,90
How many items of the same quality should I equip to complete Ready For Battle?,6
How many Key Points are required to unlock the Treasure of Blue Crystal in Alliance Gifts?,"3,000,000"
How many keys are included in the Alliance Gift received for the destruction of a Lvl 5 Barbarian Fort?,60
How many keys are included in the Wooden Chest Alliance Gift?,10
How many keys does a typical modern piano have?,88
How many Legendary Commander Sculptures are awarded to the top finisher by total rankings in the The Mightiest Governor event?,180
How many letters are used in todays version of English?,26
How many Medals of the Conqueror are needed to purchase a Legendary Commander Sculpture in the Medal Store in Expedition mode?,"1,500"
How many minutes worth total of speedups can be obtained from purchasing the 7-Day Speedup Supply in addition to the immediate 1050 Gem reward?,3150 minutes
How many Normal Iron Ore do you need to make an Advanced Iron Ore?,4
How many officers (excluding the alliance leader) can an alliance have?,8
How many Olympic gold medals did African-American athlete Jesse Owens win in 1936?,4
How many patrolling soldiers roam a governors walls?,7
How many phases are there in The Mightiest Governor event?,5
How many points are earned per 1 point of upgraded Power within the Stage 4: Power Upgrade segment of The Mightiest Governor event?,2
How many points are gained per Lvl 3 unit severely wounded/killed in the Stage 5: Enemy Elimination segment of the Mightiest Governor event?,4
How many polar bears feature on the Heart of the North Avatar Frame?,3
How many refreshes are available per visit to the Mysterious Merchant?,5
How many reward chests are awarded for reaching 60 daily activity points?,3
How many roses feature on the Rose Petals Avatar Frame?,4
How many Scouts can the Scout Camp hold at once?,3
How many sections are featured in the Kingdom Newspaper outside of special calendar events?,5
How many separate khanates or empires had the Mongol Empire fractured into by the time of Kublais death in 1294?,4
How many small tents can you see in a Lvl 3 Barbarian Fort?,6
How many stars are featured on the banner displayed behind the commander Minamoto no Yoshitsune?,3
How many students sit in on the lectures held by the scholars of the Lyceum of Wisdom?,6
How many teams competed in the 2022 World Cup?,32
How many teams took part in the first World Cup?,13
How many tents are shown on the icon for the Military Technology Encampment?,3
How many tiles does a City Hall occupy within your city?,9 x 9
How many times can you receive alliance help if your Alliance Center is level 14?,18
How many times can you receive alliance help if your alliance center is level 25?,30
How many times has North Korea qualified for the World Cup?,Two times
How many times is the character 1 used when you write from number 1 to number 99?,20
How many troops are recommended for destroying a Lvl 3 Barbarian Fort?,480000 Lvl 3 units
How many troops can governors send with a level 17 City Hall or above?,4
How many VIP points can you buy with 200 gems?,200
How many Watchtowers are included in a Lvl 25 city?,8
How many wheels are there on a battering ram?,6
How many Womens World Cups has Megan Rapinoe won?,2
How many World Cup titles has Italy won?,4
How many World Cup titles has Pelé won?,3
How many years are there between each Winter Olympic Games?,4
How much capacity does a Lvl 15 Hospital provide (excluding boosts)?,"29,000"
How much does the 12-Hour Enhanced Attack item increase your troops Attack by?,5%
How much experience does a commander earn from a Lvl 7 Tome of Knowledge?,"50,000"
How much gold does a single issue of the Kingdom Newspaper cost?,"1,000"
How much reinforcement troop capacity does a city receive at Alliance Center Lvl 20?,"575,000"
How much stone will a Lvl 17 Quarry produce every hour (excluding boosts)?,"2,775"
How much total daily contribution is required to place in the daily alliance contribution rankings?,"10,000"
How much will an Enhanced Attack (Advanced) item increase your attack?,10%
How much will an Enhanced Gathering item increase your gathering speed?,50%
How often does the World Cup take place?,Every 4 years
How often is the FIFA World Cup held?,Every 4 years
How was the Gutenberg Bible put into mass production?,Movable type printing press
If a man with type AB blood and a woman with type B blood have a baby which of the following statements would be incorrect?,It could have type O blood
Iguazu Falls lies on the border of which two countries?,Brazil and Argentina
In Republic what does Plato identify as the highest form?,Form of the Good
In 1970 an Apollo mission attempted to land on the moon. Due to a technical issue it only managed to orbit around the moon and return to Earth. What was the name of the mission?,Apollo 13
In 1970 which goalkeeper made the save of the century against Pelé?,Gordon Banks
In 2002 FIFA published a fan-selected World Cup Dream Team. Who was the goalkeeper?,Lev Yashin
In 2010 at age 71 Otto Rehhagel became the oldest person to manage a World Cup team. Which team did he manage?,Greece
In 2018 which country set the record for being the least-populated country to ever reach the World Cup?,Iceland
In 2026 the US Mexico and Canada will co-host the World Cup. How many teams will be participating?,48
In Ancient Egypt which of the following was NOT a privilege of being a ‘Scribe?,Exempt from paying medical expenses if sick
In ancient Greece the Delian League was led by which city-state?,Athens
In Ancient Greece which philosopher liked to discuss ideas on a street which then got the nickname Peripatetic School?,Aristotle
In ancient Greece who was the high priestess of the Temple of Apollo at Delphi?,The Pythia
In ancient Greek mythology who was Hermes father?,Zeus
In ancient Greek mythology who was the wife of Hades the king of the underworld?,Persephone
In Ark of Osiris how many teleports does the first alliance to occupy an obelisk earn?,8
In Ark of Osiris what effect does the Desert Storm skill have on enemy troops?,Deals skill damage
In Ark of Osiris what is the requirement for an alliance to participate in the Golden Battlefield?,Ranked top 20 for alliance power in their kingdom
In Ark of Osiris which Speedup can you use?,Healing Speedup
In Ark of Osiris where are you supposed to take the Ark?,A non-enemy building
In Chinas Han Dynasty who opened the Silk Road on the orders of Emperor Wu?,Zhang Qian
In Chinese mythology what kind of creature is Jingwei?,A bird
In DC comics what is Batmans real name?,Bruce Wayne
In French novelist Stendhals The Red and the Black what is the name of the ambitious protagonist?,Julien
In Golden Kingdom how many passes do you need to clear to get a Golden Chest?,4 Passes
In Greek mythology to whom did Paris the Prince of Troy give a golden apple inscribed with To the most beautiful goddess?,Aphrodite
In Greek mythology what is the Goddess Eos known as?,Goddess of the Dawn
In Greek mythology what is the relationship between Zeus and Hermes?,Father and son
In Greek mythology what was Achilles only weak point?,His heels
In Greek mythology what was the name of Hades 3-headed dog which guarded the gates of the Underworld?,Cerberus
In Greek mythology which hero quested for the Golden Fleece?,Jason
In Greek mythology which hero rode the flying horse Pegasus?,Bellerophon
In Greek mythology who is the hero known for stealing fire from the gods and giving it to humankind?,Prometheus
In Greek mythology who ran the chariot of the sun off its path setting the earth aflame?,Phaethon
In Homers epic The Iliad which of theh following goddesses was NOT part of the competition for the Golden Apple?,Artemis
In Japan which fruit is known as the fruit of immortality?,Tachibana
In Morse code what is the length in dots between two words?,7 dots
In most cases which kind of lion has a mane?,Adult male
In mythology who was hit by the lead arrow of Eros?,Daphne
In Norse mythology the ravens Huginn and Muninn were the companions of which god?,Odin
In Norse mythology what variety of trees was the World Tree?,Ash
In Norse mythology who does the hammer Mjolnir belong to?,Thor
In Norse mythology who wielded the weapon Gungnir?,Odin
In RoK how many soldiers stand in front of the gates of your city?,2
In RoK the Cataphract is which civilizations special unit?,Byzantium
In RoK the Hwarang is which civilizations special unit?,Korea
In RoK the Janissary is which civilizations special unit?,Ottoman Empire
In RoK the Throwing Axeman is which civilizations special unit?,France
In RoK what do you have to do to complete the quest Sword of the King?,Recruit 200 infantry units
In RoK what is the nickname of the commander Constance?,Queen of Sicily
In RoK which building can you use to view your kingdoms history?,Monument
In RoK which commander has the nickname Queen of Sicily?,Constance
In RoK which commander has the title Beloved of Thoth?,Thutmose III
In RoK which commander is nicknamed Queen of Silla?,Seondeok
In RoK which of Sun Tzus skills is enhanced by his expertise skill?,Art of War
In RoK which of the following decorations has to be purchased with Gems?,Vase
In RoK which of the following is considered a Boost item?,Peace Shield
In RoK which of the following is NOT one of Mulans skills?,Clever Heart
In RoK which of these commanders is NOT good at leading archer units?,Saladin
In Roman mythology which animal is the goddess Minerva often associated with?,Owl
In Russian history what nickname was the first Tzar given for their tyranny?,Ivan the Terrible
In Shakespeares Macbeth the titular character murders King Duncan of Scotland. What is the name of Duncans eldest son?,Malcolm
In soccer which position is allowed to touch the ball with their hands while it is in their teams penalty area?,Goalkeeper
In Sunset Canyon how many troops can you deploy at a time?,5
In the Gather Resources stage of the Mightiest Governor event how many points do you get for gathering 1 gem?,150
In the 1966 World Cup England manager Alf Ramsey began using a unique formation that led England to the World Cup title. What was notable about this formation?,No wingers
In the 2006 World Cup Switzerland did not concede a single goal in regular play. Who was their goalkeeper?,Pascal Zuberbühler
In the 2006 World Cup who was the only English player to score during penalties in Englands quarter-final match against Portugal?,Owen Hargreaves
In the 2010 World Cup Final between Spain and the Netherlands which Spanish player scored the game-winning goal?,Andrés Iniesta
In the 2010 World Cup which goalkeeper saved two penalty kicks during regular play?,Brad Friedel
In the 2014 World Cup Final between Germany and Argentina which German player scored the game-winning goal?,Mario Götze
In the 2014 World Cup held in Brazil how many cities held match venues?,12
In the 2014 World Cup held in Brazil how many Confederation of African Football teams qualified for the tournament?,5
In the 2014 World Cup which of the following teams was not in the same group as the eventual champions Germany?,England
In the 2018 World Cup Thibaut Courtois won the Golden Glove award for best goalkeeper. What country is he from?,Belgium
In the 2018 World Cup what other countries were in Englands Group G?,Belgium Panama Tunisia
In the 2018 World Cup which of the following teams was not in the same group as the eventual champions France?,Germany
In the 2022 World Cup how many teams made it through the group stage to the knockout stage?,16
In the 2022 World Cup which two teams stayed in university accommodations?,Argentina Spain
In the 2022 World Cup who faced the host country Qatar in the opening match?,Ecuador
In the 2022 World Cup who was the first team to be eliminated?,Qatar
In the 49 BCE Roman civil war who was Julius Caesars primary opponent?,Gnaeus Pompeius Magnus
In the Book of Exodus who leads the Jewish people to the Promised Land?,Moses
In the COMMANDER VIEW page what buff do commanders acting as a Bloodfist Guard get?,Troop Health +1%
In the COMMANDER VIEW page what buff do commanders acting as a Drillmaster get?,Troop Attack +1%
In the COMMANDER VIEW page what buff do commanders acting as a Iron Guard get?,Troop Health +1%
In the COMMANDER VIEW page what buff do commanders acting as a Ranger get?,None of these answers are correct
In the COMMANDER VIEW page what buff do commanders acting as a Tax Officer get?,Gathering Speed +5%
In the competition for the Golden Boot if two players have scored the same number of goals how is the winner determined?,Assists
In the Desire of Victory event how can players gain rewards?,Training troops
In the Emerald Tablet Hermes Trismegistus claims to hold three parts of the wisdom of the whole world. Which of these is NOT one of the three parts?,Transfiguration
In the Grimms fairy tale Town Musicians of Bremen a group of animals travels to Bremen together to become musicians. Which of the following animals is NOT in the group?,Pig
In the Lohars Trial event how can players obtain Bone Necklaces?,Defeating ordinary Barbarians
In the Peerless Scholar event how many answers do you need to get correct in the Preliminary to quality for the Midterm?,6
In the simplified Maslows hierarchy of needs which need is at the top of the pyramid?,Self-actualization
In total how many goals were scored at the 2018 World Cup?,169
In total how many matches were played at the 2018 World Cup?,64
In what century was a settlement established near the mouth of the Amstel which would eventually become the city of Amsterdam?,12th century
In what city did Henri I de Bourbon Prince of Condé pass away?,Saint-Jean-dAngély
In what climate does basil known in Europe as the King of Herbs largely grow?,Tropical areas
In what country did the Battle of Marengo take place?,Italy
In what era of Chinese history did the Battle of Fei River take place where a small number of soldiers conquered a vastly superior force?,The Eastern Jin Dynasty
In what year did Einstein publish his four Annus Mirabilis (Miracle Papers)?,1905
In what year did Maradona score his Hand of God goal?,1986
In what year did Mark Zuckerberg create Facebook?,2004
In what year did Qatar host the World Cup?,2022
In what year did the current World Cup trophy come into use?,1974
In what year did the Late Show with David Letterman first premiere?,1993
In what year was FIFA founded?,1904
In what year was the first Womens World Cup held?,1991
In what year was the first World Cup held?,1930
In which century did the classic English dessert sticky toffee pudding originate?,The mid-20th century
In which city in the United States has McDonalds established a Hamburger University?,Chicago
In which city is Denmarks statue of The Little Mermaid located?,Copenhagen
In which city is FIFA headquartered?,Zurich
In which city is the Obelisk of Thutmose III currently held?,Istanbul
In which city was the worlds first international soccer match held?,Glasgow
In which commanders background picture can you see a chicken?,Queen Tamar of Georgia
In which commanders background picture can you see a sakura tree?,Minamoto no Yoshitsune
In which country did assam tea known for its rich aromas originate?,India
In which country did the Olé Olé Olé chant originate?,Spain
In which country did the Carlist Wars take place during the 19th century?,Spain
In which country is the Lighthouse of Alexandria one of the Seven Wonders of the Ancient World located?,Egypt
In which country is the mysterious Stonehenge located?,United Kingdom
In which country was air conditioning invented?,USA
In which country was Botticelli painter of The Birth of Venus born?,Italy
In which country was Carlsberg Group a leading brewer founded in 1847?,Denmark
In which country was mozzarella cheese first produced broadly associated with Italian cooking and pizzas?,Italy
In which country was the 20th World Cup held?,Brazil
In which country was the electric rice cooker invented?,Japan
In which country was the famed revolutionary and military strategist Simón Bolívar born?,Venezuela
In which country was the microscope invented?,The Netherlands
In which country was the Somme the most infamous battlefield in World War I located?,France
In which country were the Wars of the Roses fought?,England
In which country were instant noodles first invented?,Japan
In which English palace did the Star Chamber sit?,Palace of Westminster
In which English stadium was the 1966 World Cup Final held?,Wembley Stadium
In which era of French history was the Arc de Triomphe built?,Napoleonic era
In which era was the very first pyramid of ancient Egypt constructed?,The Third Dynasty of Egypt
In which gallery is the Mona Lisa currently held?,The Louvre
In which lake is Olkhon Island located?,Lake Baikal
In which of these campaigns did Thutmose III take part?,The Battle of Megiddo
In which of these works does Sherlock Holmes make his first appearance?,A Study in Scarlet
In which region did the popular health food hummus originate?,Middle East
In which region in Italy is the Cathedrawl of Santa Maria del Fiore located?,Tuscany
In which region was the empire of Srivijaya located?,Southeast Asia
In which theater was Beethovens Symphony No. 5 in C Minor debuted in 1808?,The Theater an der Wien
In which two years was the World Cup suspended due to World War II?,1942 & 1946
In which UK city were The Beatles founded in 1960?,Liverpool
In which World Cup did England captain Harry Kane score 6 goals earning him the Golden Boot award?,2018 Russia World Cup
In which World Cup did Spain win its first World Cup?,2010 South Africa World Cup
In which year did Alexander Fleming discover penicillin?,1928
In which year did every World Cup start having a mascot?,1966
In which year did Richard the Lionheart and Saladin sign a truce?,1192
In which year was the Battle of Guandu?,200
In which year was the first edition of The Diary of Anne Frank published?,1947
In which year was the first Wimbledon Tennis Championship held?,1877
In which year was the Napoleonic Code established?,1804
In which year was the Soviet Union formally established?,1922
In which year was the Tianwen-1 Mars probe launched?,2020
In whose workshop did Leonardo da Vinci apprentice?,Andrea del Verrocchio
Insufficient intake of which element may cause the thyromegaly?,Iodine
Into what kind of deity was Imhotep deified following his death?,A god of medicine
Into what shape does commander Yi Seong-Gyes fan-shaped active skill transform after gaining Expertise?,A circle
Japanese ivy grows upward on walls and trees in order to capture energy from which source?,Sunlight
Johannes Vermeer the painter of Girl with a Pearl Earring was from which country?,The Netherlands
Keira once defied the worlds expectations about her in a glorious battle. Where did this battle take place?,Sunset Canyon
Lactose intolerance is caused by a shortage of what?,Lactase
Legendary commander of the Joseon Dynasty Yi Sun-sin sacrificed his life in which famous battle?,Legendary commander of the Joseon Dynasty Yi Sun-sin sacrificed his life in which famous battle?
Li Xin the ancestor of the Flying General Li Guang was a general of which state during the Warring States period of Chinese history?,Qin
Messi has used 6 different jersey numbers in his career. What are those 6 numbers?,10 14 15 18 19 30
Military strategist Belisarius served as a personal bodyguard to which emperor in his youth?,Justinianus I
Miroslav Klose holds the record for most goals scored in the World Cup. How many goals has he scored?,16
Murasaki is a character in which of the following works?,Tale of Genji
Mutations are important because they bring about what?,Genetic variation needed for a population to evolve
Northern Humanists like Erasmus were most commonly known for what?,Interest in religious and social reform
Noted Danish archaeologist Christian Jürgensen Thomsen proposed the three ages system for categorizing ancient history. Which is the first stage?,Stone Age
Of the 12 Chinese Zodiac animals which comes first?,Rat
Of the below commanders which is best suited to lead troops AGAINST archer enemies?,Cao Cao
Of the below commanders which is best suited to lead troops AGAINST cavalry enemies?,Sun Tzu
Of the below commanders which is best suited to lead troops AGAINST infantry enemies?,Hermann
Of the below commanders which is best suited to lead troops when gathering resources?,Seondeok
Of the following which is most likely to have directly led to the Bronze Age?,Bronze is harder and more durable than other metals available at the time
On its tragic maiden voyage what was the Titanics intended destination?,New York
On which animal was the 2018 Russia World Cups mascot based on?,Wolf
On which continent did the serval first live?,Africa
On which continent is the human race generally thought to have originated?,Africa
On which ingredient was the 1986 Mexico World Cups mascot based on?,Pepper
One day on the planet Venus is approximately equal to how many earth days?,243 days
One of the benefits of canned food is its long shelf life. Where were the first canned herrings made?,Northern Europe
Pandas have 5 clawed toes on as well as a sixth digit. What do pandas use their sixth digit for?,To hold bamboo while eating
Passport Pages are used when immigrating to other Kingdoms. What does the number of Passport Pages used depend on?,Governors Individual Power
Peppers have been farmed for millennia. Which continent can we trace their origins back to?,The Americas
Qatar follows Arabia Standard Time. How would that be notated using UTC?,UTC+3:00
Queen Guinevere fell in love with which Knight of the Round Table according to Arthurian legend?,Lancelot
Queen Victoria of England was part of which royal house?,The House of Hanover
Raphael is best known for his creation of which of the following?,School of Athens
Sandro Botticellis painting Venus and Mars is famed for its vivid colors and beautiful figures. In which gallery is this painting now housed?,The National Gallery in London
Santa Claus travels on a sleigh pulled by what animal?,Reindeer
Screenwriter Marguerite Duras is known for writing the film Hiroshima mon amour. Where was she born?,Vietnam
Seondeok was Queen of Silla (part of modern-day Korea). What was her birth name?,Kim Deokman
Shanghais Jin Mao Tower has how many floors?,88
Since its founding in 1863 how many times has the International Committee of the Red Cross won the Nobel Peace Prize?,3
Some toothpastes contain powdered calcium carbonate. What is its function?,Acts as an abrasive
Thanks to large deposits of borax and pigment from local algae the Laguna Colorada is a fantastical landscape of red and white. What country is it located in?,Bolivia
The Battle of Las Navas de Tolosa was a major turning point in which conflict?,The Reconquista
The Beef Wellington involves cooking filet mignon wrapped inside which other ingredient?,Puff pastry
The Day of the Tiles is regarded by some historians to mark the beginning of the French Revolution. In what city did it take place?,Grenoble
The Dragonfly Cutter was the weapon of choice of which legendary warrior?,Honda Tadakatsu
The El Nino phenomenon is named after which of these festivals?,Christmas
The Independence March is the national anthem of which country?,Turkey
The Three Great Philosophers of Ancient Greece were Plato Aristotle and who?,Socrates
The Windsor knot was made popular by which king of England?,Edward VIII
The 1000 point achievement chest includes:,Epic Commander Sculpture
The 2022 World Cup will be the first mens world cup with female referees. How many will there by?,3
The 24 solar terms are a traditional Chinese calendar system used for what purpose?,Agriculture
The Academy Awards occasionally presents the Jean Hersholt Humanitarian Award. Which of these films was Jean Hersholt in?,Greed (1924)
The air often feels fresher after a thunderstorm because it has been enriched with which gas?,Ozone
The Alliance Technology Territory Guardian increases which attribute of troops when battling in Alliance territory?,Attack
The Ancient Olympic Games were held every 4 years at Olympia in southwest Greece. In what year are they believed to have begun?,776 BCE
The Aral Sea was once the worlds fourth largest lake but since then it has mostly dried up. Where is it located?,Central Asia
The auction house Sothebys was founded in 1744 in which English city?,London
The Bastille a prison once located in the center of Paris France originally served what purpose?,Defensive Fortress
The blueprint fragments of which of the following accessories CANNOT be redeemed from the Season of Conquest Shop?,Pendant of Eternal Night
The borders of which of these countries extend across two continents?,Egypt
The cathedral of Notre-Dame de Paris was built in which style?,Gothic
The city decoration Ishtar Gate is a tribute to which of the following civilizations?,Babylonia
The coffee bean is in fact a type of…?,Fruit
The Colossus of Rhodes depicts which god of the sun?,Helios
The Colossus of Rhodes represents which Greek god?,Helios
The concept of ‘separation of powers comes from which work by Montesquieu?,The Spirit of Law
The cone-shaped winds of tornadoes are notable for doing what?,Spinning
The epic Poem of El Cid originated from which country?,Spain
The famous Renaissance sculpture Pietà was the work of which artist?,Michelangelo
The flag of which country holds the world record of being the oldest continuously used national flag?,Denmark
The four biggest musicals in the world are Cats Les Miserables Miss Saigon and…?,The Phantom of the Opera
The four major varieties of Guzheng in Ancient China were the Haozhong Luqi Jiaowei and the…?,Raoliang
The Gallic rooster is an official national symbol of which country?,France
The General Carrera Lake originates from the Andes glaciers. Which two countries border the lake?,Argentina and Chile
The general theory of relativity was published by which physicist?,Einstein
The Golden Bear Award is given out at which film festival?,Berlin Film Festival
The Golden Glove/Lev Yashin award is given to the best goalkeeper in the World Cup. In which World Cup was it first awarded?,15th
The Greek alphabet originated from which other writing system?,Phoenician
The Greek epic The Odyssey records the return of the hero Odysseus from war. Where was his homeland?,Ithaca
The kingdom title ‘Queen increases which of the following?,Gathering Speed
The Leaning Tower of Pisa is located in which of these countries?,Italy
The Lion Gate is the largest surviving prehistoric sculpture in the Aegean. Where is it located?,Mycenae
The Luger pistol manufactured for the German army during WW2 uses which type of ammo?,9mm Parabellum
The mascot of the 2010 South Africa World Cup was an anthropomorphic leopard with green hair. What was his name?,Zakumi
The military leader Charles Martel was NOT known for which of the following?,Leading cavalry units
The more genetic variation a population has the more likely it is that some individual will what?,Survive
The Mughal Empire carried Islam to where?,Most of India
The Museum of Modern Art is located in which American city?,New York
The novel Romance of the Three Kingdoms begins near the end of which Chinese dynasty?,Han
The Pantheon has been the burial site of many important artists since the Renaissance. Which of the following artists were buried there?,Raphael
The period after the fall of the Mycenaean civilization and before the birth of the Greek city-states is known as the Greek Dark Ages. Which of these works was written during that time?,The Odyssey
The Phoenician civilization originated in which part of the world?,The Eastern Mediterranean
The poet Fernando Pessoa was known for writing his poems as different characters which he called heteronyms. Which of these is NOT one of the heteronyms that Pessoa used?,Francisco Norman
The prehistoric humans known as homo floresiensis are also commonly referred to as?,Hobbits
